rating_id,product_id,user_id,rating,review_text
450,4,4,3,"Average quality, meets needs."
451,5,1,2,Disappointed with the performance.
452,1,2,5,"Fantastic quality, highly recommend."
453,2,3,4,"Good product, worth the price."
454,3,4,3,"Decent product, not bad."
455,4,1,2,Expected better quality.
456,5,2,5,"Love it, very satisfied!"
457,1,3,4,Happy with this purchase.
458,2,4,3,"It is okay, nothing special."
459,3,1,2,Not satisfied with the performance.
460,4,2,5,"Excellent product, very happy."
461,5,3,4,"Good value, meets expectations."
462,1,4,3,"Average quality, okay product."
463,2,1,2,Not worth the price.
464,3,2,5,"Great quality, highly recommend."
465,4,3,4,"Works well, good product."
466,5,4,3,"Decent performance, not bad."
467,1,1,2,"Expected more, disappointed."
468,2,2,5,"Fantastic product, very pleased."
469,3,3,4,"Good quality, worth buying."
470,4,4,3,"Okay product, meets basic needs."
471,5,1,2,"Quality could be better, not satisfied."
472,1,2,5,"Amazing product, highly recommend."
473,2,3,4,"Good value, satisfied with the purchase."
474,3,4,3,"Decent quality, does the job."
475,4,1,2,"Not satisfied, expected more."
476,5,2,5,Love it! Very happy with this product.
477,1,3,4,"Good quality, worth the money."
478,2,4,3,"It is okay, meets expectations."
479,3,1,2,Disappointed with the performance.
480,4,2,5,"Great product, highly recommend."
481,5,3,4,"Good value, works well."
482,1,4,3,"Average quality, decent product."
483,2,1,2,Expected better quality.
484,3,2,5,"Fantastic product, very pleased."
485,4,3,4,"Good quality, satisfied with the purchase."
486,5,4,3,"It is alright, meets basic needs."
487,1,1,2,Not worth the price.
488,2,2,5,"Great product, highly recommend."
489,3,3,4,"Good quality, worth the money."
490,4,4,3,"Decent product, nothing special."
491,5,1,2,Disappointed with the quality.
492,1,2,5,"Exceptional product, very satisfied."
493,2,3,4,"Good value, pleased with the purchase."
494,3,4,3,"It is okay, does the job."
495,4,1,2,Not happy with the performance.
496,5,2,5,"Fantastic quality, highly recommend."
497,1,3,4,"Good product, worth the money."
498,2,4,3,"Average quality, okay product."
499,3,1,2,Expected better quality.
500,4,2,5,"Great product, very happy."
501,5,3,4,"Good value, meets expectations."
502,1,4,3,"Decent product, not bad."
503,2,1,2,"Not satisfied, expected more."
504,3,2,5,"Amazing product, highly recommend."
505,4,3,4,"Good quality, satisfied with the purchase."
506,5,4,3,"It is alright, meets basic needs."
507,1,1,2,Not worth the price.
508,2,2,5,"Great product, highly recommend."
509,3,3,4,"Good quality, worth the money."
510,4,4,3,"Decent product, nothing special."
511,5,1,2,Disappointed with the quality.
